file_path,audio_file_name,emotion,intensity,statement,repetition,actor_id
/content/audio_speech_actors_01-24/Actor_04/03-01-04-02-01-01-04.wav,03-01-04-02-01-01-04.wav,4,2,1,1,4
/content/audio_speech_actors_01-24/Actor_04/03-01-03-01-02-01-04.wav,03-01-03-01-02-01-04.wav,3,1,2,1,4
/content/audio_speech_actors_01-24/Actor_04/03-01-02-02-01-02-04.wav,03-01-02-02-01-02-04.wav,2,2,1,2,4
/content/audio_speech_actors_01-24/Actor_04/03-01-08-02-02-02-04.wav,03-01-08-02-02-02-04.wav,8,2,2,2,4
/content/audio_speech_actors_01-24/Actor_04/03-01-05-02-01-02-04.wav,03-01-05-02-01-02-04.wav,5,2,1,2,4
/content/audio_speech_actors_01-24/Actor_04/03-01-05-02-02-01-04.wav,03-01-05-02-02-01-04.wav,5,2,2,1,4
/content/audio_speech_actors_01-24/Actor_04/03-01-05-02-02-02-04.wav,03-01-05-02-02-02-04.wav,5,2,2,2,4
/content/audio_speech_actors_01-24/Actor_04/03-01-03-01-01-02-04.wav,03-01-03-01-01-02-04.wav,3,1,1,2,4
/content/audio_speech_actors_01-24/Actor_04/03-01-06-01-02-01-04.wav,03-01-06-01-02-01-04.wav,6,1,2,1,4
/content/audio_speech_actors_01-24/Actor_04/03-01-06-02-01-01-04.wav,03-01-06-02-01-01-04.wav,6,2,1,1,4
/content/audio_speech_actors_01-24/Actor_04/03-01-08-02-01-02-04.wav,03-01-08-02-01-02-04.wav,8,2,1,2,4
/content/audio_speech_actors_01-24/Actor_04/03-01-01-01-01-02-04.wav,03-01-01-01-01-02-04.wav,1,1,1,2,4
/content/audio_speech_actors_01-24/Actor_04/03-01-08-01-02-01-04.wav,03-01-08-01-02-01-04.wav,8,1,2,1,4
/content/audio_speech_actors_01-24/Actor_04/03-01-06-01-01-02-04.wav,03-01-06-01-01-02-04.wav,6,1,1,2,4
/content/audio_speech_actors_01-24/Actor_04/03-01-07-01-01-01-04.wav,03-01-07-01-01-01-04.wav,7,1,1,1,4
/content/audio_speech_actors_01-24/Actor_04/03-01-08-02-02-01-04.wav,03-01-08-02-02-01-04.wav,8,2,2,1,4
/content/audio_speech_actors_01-24/Actor_04/03-01-07-02-02-02-04.wav,03-01-07-02-02-02-04.wav,7,2,2,2,4
/content/audio_speech_actors_01-24/Actor_04/03-01-07-02-01-01-04.wav,03-01-07-02-01-01-04.wav,7,2,1,1,4
/content/audio_speech_actors_01-24/Actor_04/03-01-02-01-02-01-04.wav,03-01-02-01-02-01-04.wav,2,1,2,1,4
/content/audio_speech_actors_01-24/Actor_04/03-01-03-02-02-02-04.wav,03-01-03-02-02-02-04.wav,3,2,2,2,4
/content/audio_speech_actors_01-24/Actor_04/03-01-07-01-02-01-04.wav,03-01-07-01-02-01-04.wav,7,1,2,1,4
/content/audio_speech_actors_01-24/Actor_04/03-01-03-01-02-02-04.wav,03-01-03-01-02-02-04.wav,3,1,2,2,4
/content/audio_speech_actors_01-24/Actor_04/03-01-03-01-01-01-04.wav,03-01-03-01-01-01-04.wav,3,1,1,1,4
/content/audio_speech_actors_01-24/Actor_04/03-01-02-02-02-01-04.wav,03-01-02-02-02-01-04.wav,2,2,2,1,4
/content/audio_speech_actors_01-24/Actor_04/03-01-06-02-02-02-04.wav,03-01-06-02-02-02-04.wav,6,2,2,2,4
/content/audio_speech_actors_01-24/Actor_04/03-01-04-01-01-01-04.wav,03-01-04-01-01-01-04.wav,4,1,1,1,4
/content/audio_speech_actors_01-24/Actor_04/03-01-06-01-02-02-04.wav,03-01-06-01-02-02-04.wav,6,1,2,2,4
/content/audio_speech_actors_01-24/Actor_04/03-01-03-02-01-02-04.wav,03-01-03-02-01-02-04.wav,3,2,1,2,4
/content/audio_speech_actors_01-24/Actor_04/03-01-08-02-01-01-04.wav,03-01-08-02-01-01-04.wav,8,2,1,1,4
/content/audio_speech_actors_01-24/Actor_04/03-01-05-01-02-01-04.wav,03-01-05-01-02-01-04.wav,5,1,2,1,4
/content/audio_speech_actors_01-24/Actor_04/03-01-07-02-02-01-04.wav,03-01-07-02-02-01-04.wav,7,2,2,1,4
/content/audio_speech_actors_01-24/Actor_04/03-01-04-02-02-02-04.wav,03-01-04-02-02-02-04.wav,4,2,2,2,4
/content/audio_speech_actors_01-24/Actor_04/03-01-06-02-01-02-04.wav,03-01-06-02-01-02-04.wav,6,2,1,2,4
/content/audio_speech_actors_01-24/Actor_04/03-01-08-01-01-02-04.wav,03-01-08-01-01-02-04.wav,8,1,1,2,4
/content/audio_speech_actors_01-24/Actor_04/03-01-06-01-01-01-04.wav,03-01-06-01-01-01-04.wav,6,1,1,1,4
/content/audio_speech_actors_01-24/Actor_04/03-01-02-01-02-02-04.wav,03-01-02-01-02-02-04.wav,2,1,2,2,4
/content/audio_speech_actors_01-24/Actor_04/03-01-04-02-01-02-04.wav,03-01-04-02-01-02-04.wav,4,2,1,2,4
/content/audio_speech_actors_01-24/Actor_04/03-01-04-01-02-01-04.wav,03-01-04-01-02-01-04.wav,4,1,2,1,4
/content/audio_speech_actors_01-24/Actor_04/03-01-07-01-01-02-04.wav,03-01-07-01-01-02-04.wav,7,1,1,2,4
/content/audio_speech_actors_01-24/Actor_04/03-01-07-01-02-02-04.wav,03-01-07-01-02-02-04.wav,7,1,2,2,4
/content/audio_speech_actors_01-24/Actor_04/03-01-02-01-01-02-04.wav,03-01-02-01-01-02-04.wav,2,1,1,2,4
/content/audio_speech_actors_01-24/Actor_04/03-01-01-01-02-02-04.wav,03-01-01-01-02-02-04.wav,1,1,2,2,4
/content/audio_speech_actors_01-24/Actor_04/03-01-01-01-01-01-04.wav,03-01-01-01-01-01-04.wav,1,1,1,1,4
/content/audio_speech_actors_01-24/Actor_04/03-01-02-02-02-02-04.wav,03-01-02-02-02-02-04.wav,2,2,2,2,4
/content/audio_speech_actors_01-24/Actor_04/03-01-04-01-02-02-04.wav,03-01-04-01-02-02-04.wav,4,1,2,2,4
/content/audio_speech_actors_01-24/Actor_04/03-01-02-02-01-01-04.wav,03-01-02-02-01-01-04.wav,2,2,1,1,4
/content/audio_speech_actors_01-24/Actor_04/03-01-05-01-01-01-04.wav,03-01-05-01-01-01-04.wav,5,1,1,1,4
/content/audio_speech_actors_01-24/Actor_04/03-01-08-01-02-02-04.wav,03-01-08-01-02-02-04.wav,8,1,2,2,4
/content/audio_speech_actors_01-24/Actor_04/03-01-02-01-01-01-04.wav,03-01-02-01-01-01-04.wav,2,1,1,1,4
/content/audio_speech_actors_01-24/Actor_04/03-01-07-02-01-02-04.wav,03-01-07-02-01-02-04.wav,7,2,1,2,4
/content/audio_speech_actors_01-24/Actor_04/03-01-03-02-01-01-04.wav,03-01-03-02-01-01-04.wav,3,2,1,1,4
/content/audio_speech_actors_01-24/Actor_04/03-01-03-02-02-01-04.wav,03-01-03-02-02-01-04.wav,3,2,2,1,4
/content/audio_speech_actors_01-24/Actor_04/03-01-05-01-01-02-04.wav,03-01-05-01-01-02-04.wav,5,1,1,2,4
/content/audio_speech_actors_01-24/Actor_04/03-01-04-02-02-01-04.wav,03-01-04-02-02-01-04.wav,4,2,2,1,4
/content/audio_speech_actors_01-24/Actor_04/03-01-08-01-01-01-04.wav,03-01-08-01-01-01-04.wav,8,1,1,1,4
/content/audio_speech_actors_01-24/Actor_04/03-01-05-02-01-01-04.wav,03-01-05-02-01-01-04.wav,5,2,1,1,4
/content/audio_speech_actors_01-24/Actor_04/03-01-01-01-02-01-04.wav,03-01-01-01-02-01-04.wav,1,1,2,1,4
/content/audio_speech_actors_01-24/Actor_04/03-01-05-01-02-02-04.wav,03-01-05-01-02-02-04.wav,5,1,2,2,4
/content/audio_speech_actors_01-24/Actor_04/03-01-04-01-01-02-04.wav,03-01-04-01-01-02-04.wav,4,1,1,2,4
/content/audio_speech_actors_01-24/Actor_04/03-01-06-02-02-01-04.wav,03-01-06-02-02-01-04.wav,6,2,2,1,4
/content/audio_speech_actors_01-24/Actor_10/03-01-08-01-02-01-10.wav,03-01-08-01-02-01-10.wav,8,1,2,1,10
/content/audio_speech_actors_01-24/Actor_10/03-01-06-01-01-01-10.wav,03-01-06-01-01-01-10.wav,6,1,1,1,10
/content/audio_speech_actors_01-24/Actor_10/03-01-07-02-01-01-10.wav,03-01-07-02-01-01-10.wav,7,2,1,1,10
/content/audio_speech_actors_01-24/Actor_10/03-01-03-02-02-01-10.wav,03-01-03-02-02-01-10.wav,3,2,2,1,10
/content/audio_speech_actors_01-24/Actor_10/03-01-04-02-02-02-10.wav,03-01-04-02-02-02-10.wav,4,2,2,2,10
/content/audio_speech_actors_01-24/Actor_10/03-01-04-01-02-02-10.wav,03-01-04-01-02-02-10.wav,4,1,2,2,10
/content/audio_speech_actors_01-24/Actor_10/03-01-06-01-02-02-10.wav,03-01-06-01-02-02-10.wav,6,1,2,2,10
/content/audio_speech_actors_01-24/Actor_10/03-01-07-01-01-02-10.wav,03-01-07-01-01-02-10.wav,7,1,1,2,10
/content/audio_speech_actors_01-24/Actor_10/03-01-03-01-01-02-10.wav,03-01-03-01-01-02-10.wav,3,1,1,2,10
/content/audio_speech_actors_01-24/Actor_10/03-01-03-01-01-01-10.wav,03-01-03-01-01-01-10.wav,3,1,1,1,10
/content/audio_speech_actors_01-24/Actor_10/03-01-01-01-02-01-10.wav,03-01-01-01-02-01-10.wav,1,1,2,1,10
/content/audio_speech_actors_01-24/Actor_10/03-01-04-02-01-01-10.wav,03-01-04-02-01-01-10.wav,4,2,1,1,10
/content/audio_speech_actors_01-24/Actor_10/03-01-02-02-02-01-10.wav,03-01-02-02-02-01-10.wav,2,2,2,1,10
/content/audio_speech_actors_01-24/Actor_10/03-01-07-01-02-01-10.wav,03-01-07-01-02-01-10.wav,7,1,2,1,10
/content/audio_speech_actors_01-24/Actor_10/03-01-03-01-02-01-10.wav,03-01-03-01-02-01-10.wav,3,1,2,1,10
/content/audio_speech_actors_01-24/Actor_10/03-01-06-02-01-01-10.wav,03-01-06-02-01-01-10.wav,6,2,1,1,10
/content/audio_speech_actors_01-24/Actor_10/03-01-02-01-01-02-10.wav,03-01-02-01-01-02-10.wav,2,1,1,2,10
/content/audio_speech_actors_01-24/Actor_10/03-01-01-01-01-02-10.wav,03-01-01-01-01-02-10.wav,1,1,1,2,10
/content/audio_speech_actors_01-24/Actor_10/03-01-01-01-01-01-10.wav,03-01-01-01-01-01-10.wav,1,1,1,1,10
/content/audio_speech_actors_01-24/Actor_10/03-01-05-02-02-01-10.wav,03-01-05-02-02-01-10.wav,5,2,2,1,10
/content/audio_speech_actors_01-24/Actor_10/03-01-05-01-01-02-10.wav,03-01-05-01-01-02-10.wav,5,1,1,2,10
/content/audio_speech_actors_01-24/Actor_10/03-01-08-01-01-02-10.wav,03-01-08-01-01-02-10.wav,8,1,1,2,10
/content/audio_speech_actors_01-24/Actor_10/03-01-08-02-01-02-10.wav,03-01-08-02-01-02-10.wav,8,2,1,2,10
